[2025-03-21 19:38:35,594] [INFO] [main] Creazione dell'app Flask per Celery...
[2025-03-21 19:38:35,654] [INFO] [main] Inizializzazione di Celery...
[2025-03-21 19:38:35,661] [INFO] [main] Caricamento configurazione da config.celeryconfig...
[2025-03-21 19:38:35,662] [INFO] [main] Autodiscovery dei task Celery...
[2025-03-21 19:38:35,663] [INFO] [main] Celery pronto.
[2025-03-21 19:38:37,215] [INFO] [main] Creazione dell'app Flask per Celery...
[2025-03-21 19:38:37,328] [INFO] [main] Inizializzazione di Celery...
[2025-03-21 19:38:37,350] [INFO] [main] Caricamento configurazione da config.celeryconfig...
[2025-03-21 19:38:37,351] [INFO] [main] Autodiscovery dei task Celery...
[2025-03-21 19:38:37,352] [INFO] [main] Celery pronto.
[2025-03-21 19:56:06,354] [INFO] [main] Creazione dell'app Flask per Celery...
[2025-03-21 19:56:06,422] [INFO] [main] Inizializzazione di Celery...
[2025-03-21 19:56:06,429] [INFO] [main] Caricamento configurazione da config.celeryconfig...
[2025-03-21 19:56:06,429] [INFO] [main] Autodiscovery dei task Celery...
[2025-03-21 19:56:06,430] [INFO] [main] Celery pronto.
[2025-03-21 19:56:14,741] [INFO] [main] Creazione dell'app Flask per Celery...
[2025-03-21 19:56:14,791] [INFO] [main] Inizializzazione di Celery...
[2025-03-21 19:56:14,797] [INFO] [main] Caricamento configurazione da config.celeryconfig...
[2025-03-21 19:56:14,798] [INFO] [main] Autodiscovery dei task Celery...
[2025-03-21 19:56:14,798] [INFO] [main] Celery pronto.
[2025-03-22 09:20:08,225] [INFO] [main] Creazione dell'app Flask per Celery...
[2025-03-22 09:20:08,285] [INFO] [main] Inizializzazione di Celery...
[2025-03-22 09:20:08,292] [INFO] [main] Caricamento configurazione da config.celeryconfig...
[2025-03-22 09:20:08,293] [INFO] [main] Autodiscovery dei task Celery...
[2025-03-22 09:20:08,293] [INFO] [main] Celery pronto.
[2025-03-22 10:59:04,082] [INFO] [extensions] Inizializzazione estensione SQLAlchemy
[2025-03-22 10:59:04,095] [INFO] [factory] DATABASE_URL rilevato: postgresql://tech_admin:GinnyLD%401402@100.120.25.12:5432/ld_flask_app
[2025-03-22 10:59:04,097] [INFO] [main] Creazione dell'app Flask per Celery...
[2025-03-22 10:59:04,097] [INFO] [factory] >>> Creazione dell'app Flask
[2025-03-22 10:59:04,149] [INFO] [factory] App Flask creata e database inizializzato correttamente.
[2025-03-22 10:59:04,149] [INFO] [main] Inizializzazione di Celery...
[2025-03-22 10:59:04,155] [INFO] [main] Caricamento configurazione da config.celeryconfig...
[2025-03-22 10:59:04,155] [INFO] [main] Autodiscovery dei task Celery...
[2025-03-22 10:59:04,156] [INFO] [main] Celery pronto.
